zip,price,station,route
59044,2.15,BIL,BIL01-001
59047,2.15,BZN,BZN01-001
59101,2.15,BIL,BIL01-002
59102,2.15,BIL,BIL01-001
59105,2.15,BIL,BIL01-002
59106,2.15,BIL,BIL01-001
59701,2.15,BZN,BZN01-001
59714,2.15,BZN,BZN01-001
59715,2.15,BZN,BZN01-001
59718,2.15,BZN,BZN01-001
59741,2.15,BZN,BZN01-001
80002,1.75,DEN,DEN01-006
80003,1.9,DEN,DEN01-007
80004,1.9,DEN,DEN01-007
80005,1.9,DEN,DEN01-007
80007,1.9,DEN,DEN01-007
80010,1.95,DEN,DEN01-010
80011,1.95,DEN,DEN01-010
80012,1.9,DEN,DEN01-011
80013,1.95,DEN,DEN01-028
80014,1.95,DEN,DEN01-011
80015,1.95,DEN,DEN01-021
80016,1.95,DEN,DEN01-021
80017,1.95,DEN,DEN01-028
80018,1.95,DEN,DEN01-021
80019,1.95,DEN,DEN01-010
80020,1.9,DEN,DEN01-017
80021,1.9,DEN,DEN01-007
80022,1.75,DEN,DEN01-018
80023,1.9,DEN,DEN01-017
80024,1.95,DEN,DEN01-010
80026,1.95,DEN,DEN01-008
80027,1.9,DEN,DEN01-026
80030,1.9,DEN,DEN01-017
80031,1.9,DEN,DEN01-017
80033,1.75,DEN,DEN01-006
80045,1.95,DEN,DEN01-010
80104,1.85,DEN,DEN01-020
80108,1.85,DEN,DEN01-020
80109,1.85,DEN,DEN01-020
80110,1.75,DEN,DEN01-016
80111,1.95,DEN,DEN01-001
80112,1.95,DEN,DEN01-001
80113,1.75,DEN,DEN01-016
80120,1.9,DEN,DEN01-002
80121,1.9,DEN,DEN01-002
80122,1.9,DEN,DEN01-002
80123,1.75,DEN,DEN01-016
80124,1.9,DEN,DEN01-002
80125,1.75,DEN,DEN01-016
80126,1.9,DEN,DEN01-002
80127,1.75,DEN,DEN01-016
80128,1.75,DEN,DEN01-016
80129,1.9,DEN,DEN01-002
80130,1.9,DEN,DEN01-002
80132,2.0,DEN,DEN01-015
80133,2.0,DEN,DEN01-015
80134,1.95,DEN,DEN01-001
80138,1.95,DEN,DEN01-021
80202,1.8,DEN,DEN01-029
80203,1.975,DEN,DEN01-031
80204,1.8,DEN,DEN01-029
80205,1.975,DEN,DEN01-003
80206,1.975,DEN,DEN01-003
80207,1.75,DEN,DEN01-004
80209,1.975,DEN,DEN01-003
80210,1.975,DEN,DEN01-003
80211,1.8,DEN,DEN01-029
80212,1.8,DEN,DEN01-029
80214,1.75,DEN,DEN01-006
80215,1.75,DEN,DEN01-006
80216,1.975,DEN,DEN01-032
80218,1.975,DEN,DEN01-003
80219,1.8,DEN,DEN01-005
80220,1.75,DEN,DEN01-004
80221,1.8,DEN,DEN01-029
80222,1.75,DEN,DEN01-004
80223,1.8,DEN,DEN01-005
80224,1.75,DEN,DEN01-004
80226,1.8,DEN,DEN01-005
80227,1.8,DEN,DEN01-005
80228,1.8,DEN,DEN01-005
80229,1.85,DEN,DEN01-009
80230,1.75,DEN,DEN01-030
80231,1.75,DEN,DEN01-030
80232,1.8,DEN,DEN01-005
80233,1.85,DEN,DEN01-009
80234,1.9,DEN,DEN01-027
80235,1.75,DEN,DEN01-016
80236,1.75,DEN,DEN01-016
80237,1.75,DEN,DEN01-030
80238,1.75,DEN,DEN01-018
80239,1.75,DEN,DEN01-018
80241,1.9,DEN,DEN01-027
80246,1.75,DEN,DEN01-004
80247,1.75,DEN,DEN01-030
80249,1.75,DEN,DEN01-018
80260,1.9,DEN,DEN01-027
80301,1.9,DEN,DEN01-026
80302,1.9,DEN,DEN01-026
80303,1.9,DEN,DEN01-026
80304,1.9,DEN,DEN01-026
80305,1.9,DEN,DEN01-026
80401,1.75,DEN,DEN01-006
80403,1.9,DEN,DEN01-007
80419,1.9,DEN,DEN01-007
80501,1.9,DEN,DEN01-026
80503,1.9,DEN,DEN01-026
80504,1.95,DEN,DEN01-008
80513,1.95,DEN,DEN01-008
80514,1.95,DEN,DEN01-008
80516,1.95,DEN,DEN01-008
80520,1.95,DEN,DEN01-008
80521,2.05,DEN,DEN01-023
80524,2.05,DEN,DEN01-023
80525,2.05,DEN,DEN01-023
80526,2.05,DEN,DEN01-023
80528,2.05,DEN,DEN01-023
80530,1.95,DEN,DEN01-008
